"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "Markdown", "XML", "Python", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\components\groups-list-card\groups-list-card.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 3, 18
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\components\users-list-card\users-list-card.component.css", "PostCSS", 0, 0, 0, 0, 39, 0, 0, 0, 1, 8, 48
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\components\users-list-card\users-list-card.component.html", "HTML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\components\users-list-card\users-list-card.component.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 1, 3, 19
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\groups-list\groups-list.component.css", "PostCSS", 0, 0, 0, 0, 64, 0, 0, 0, 1, 13, 78
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\groups-list\groups-list.component.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\groups-list\groups-list.component.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 31, 14, 118
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\users-list\users-list.component.css", "PostCSS", 0, 0, 0, 0, 64, 0, 0, 0, 1, 13, 78
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\users-list\users-list.component.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 2, 33
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\pages\users-list\users-list.component.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 31, 14, 122
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\search.component.css", "PostCSS", 0, 0, 0, 0, 79, 0, 0, 0, 1, 16, 96
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\search\search.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 1, 4, 24
